date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:16	3832/3832	---M-Z	200	added ('OK')	text/html	date:Wed,%2002%20Oct%202019%2006:45:39%20GMT	https://calculator-f6a8e.firebaseapp.com/	C:/My%20Web%20Sites/Calculator/calculator-f6a8e.firebaseapp.com/index.html	(from )
21:50:16	853/853	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Oct%202019%2006:45:39%20GMT	https://calculator-f6a8e.firebaseapp.com/robots.txt		(from )
21:50:16	427/427	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2002%20Oct%202019%2006:45:39%20GMT	https://calculator-f6a8e.firebaseapp.com/script.js	C:/My%20Web%20Sites/Calculator/calculator-f6a8e.firebaseapp.com/script.js	(from https://calculator-f6a8e.firebaseapp.com/)
21:50:16	788/788	---M-Z	200	added ('OK')	text/css	date:Wed,%2002%20Oct%202019%2006:45:39%20GMT	https://calculator-f6a8e.firebaseapp.com/style.css	C:/My%20Web%20Sites/Calculator/calculator-f6a8e.firebaseapp.com/style.css	(from https://calculator-f6a8e.firebaseapp.com/)
21:50:17	88145/88145	---MC-	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://calculator-f6a8e.firebaseapp.com/)
21:50:18	207465/207465	---MC-	200	added ('OK')	text/css	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.css	(from https://calculator-f6a8e.firebaseapp.com/)
21:50:18	11921/11921	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2025%20Sep%202019%2021:08:26%20GMT	https://calculator-f6a8e.firebaseapp.com/__/firebase/7.0.0/firebase-app.js	C:/My%20Web%20Sites/Calculator/calculator-f6a8e.firebaseapp.com/__/firebase/7.0.0/firebase-app.js	(from https://calculator-f6a8e.firebaseapp.com/)
21:50:19	21244/21244	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2025%20Sep%202019%2021:08:27%20GMT	https://calculator-f6a8e.firebaseapp.com/__/firebase/7.0.0/firebase-analytics.js	C:/My%20Web%20Sites/Calculator/calculator-f6a8e.firebaseapp.com/__/firebase/7.0.0/firebase-analytics.js	(from https://calculator-f6a8e.firebaseapp.com/)
21:50:19	200137/200137	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.js	C:/My%20Web%20Sites/Calculator/ajax.googleapis.com/ajax/libs/jquerymobile/1.4.5/jquery.mobile.min.js	(from https://calculator-f6a8e.firebaseapp.com/)
21:50:19	562/562	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2002%20Oct%202019%2006:45:39%20GMT	https://calculator-f6a8e.firebaseapp.com/__/firebase/init.js	C:/My%20Web%20Sites/Calculator/calculator-f6a8e.firebaseapp.com/__/firebase/init.js	(from https://calculator-f6a8e.firebaseapp.com/)
